Data Uji;Prediksi;Label True;Proba Positif;Proba Negatif;;
pantainya bagus bersih pasirnya putih serpihan pecahan karang cocok bermain air anak anak;Positif;Positif;0.9993875026702881;0.0006349403411149979;;
jarak tempuh lumayan cepat dibanding pantai wonosari akses mudah roda roda dilarang kondisi jalan sempit disana alam membawa pikiranmu jauh hiruk pikuk kota syahdu;Positif;Positif;0.9999717473983765;3,07E+09;;0,977671451
aneh ibuk ibuk usia jalannya jauh banget hehehe terjal;Negatif;Negatif;0.001216651638969779;0.998816728591919;;
bentuk pantainya terbuka banyak pohon khas pantai berteduh panas siang ngecamp harus menjaga kebersihan merawat fasilitas tersedia wisatawan nyaman;Positif;Positif;0.9986147880554199;0.0014813168672844768;;
salah pantai terbaik daerah gunung kidul pantainya agak terpencil aksesnya mudah terjangkau spot pantai cocok ngecamp aman memiliki lahan luas tinggi bibir pantai aman ombak;Positif;Positif;0.9975574016571045;0.0025501276832073927;;
ramai cocok tebing ngolang sunsetnya cantik;Positif;Positif;0.9998289346694946;0.0001828853419283405;;
jorok pantai kotor;Negatif;Negatif;0.0029929326847195625;0.9970217347145081;;
pantai indah pemandangan atas ketinggian pantai watu lawang cocok suka ngecamp indah pemandangan pantai malam;Positif;Positif;0.9553451538085938;0.04033302515745163;;
pantainya asri pengunjung pemandangan alam kiri kanan indah â™¡;Positif;Positif;0.9999532699584961;4,98E+10;;
pemandangan laut kidul pasirnya putih recommended dikunjungi sore;Positif;Positif;0.9996237754821777;0.00036423205165192485;;
tempatnya bagus airnya jernih bersih pantainya snorkeling;Positif;Positif;0.999967098236084;3,49E+10;;
mobil sepi cocok nyari suasana tenang;Negatif;Negatif;0.1273556798696518;0.8596178889274597;;
suka karang pas air laut nabrak karang keliatan bagus tebing sayang musti bayar sunset mataharinya kehalang tebing;Negatif;Negatif;0.25552523136138916;0.7590484023094177;;
pantai indah selatan gunungkidul aman sikecil ombak tunda ketahan pulau tengahnya kombinasi pasir putih karang pulau nyewa kano ribu sepuasnya mantul;Positif;Positif;0.9999430179595947;6,13E+10;;
harus jalan kirang menitan lupa bawa akua pakai sendal gunung sendal jepit sepatu kebayar pas pemandangannya sih tempatnya relatif sepi pinggir pantainya mendirikan tenda ombak lumayan agak kenceng;Positif;Positif;0.9066675901412964;0.10171923786401749;;
keren pemandangannya tatanan beton unik pemecah ombak lupa hati hati ombak disana;Positif;Positif;0.9956430196762085;0.004359876736998558;;
sejuk lomba tarik tambang kapolda diy;Positif;Positif;0.9994878768920898;0.0005250935791991651;;
akses arah pantai ngobarana nguyahan jalan aspal bagus makan toilet kamar mandi bilas dengana bayar rp bibir pantai banding ngobaran nguyahan agak kotor banyak sampah situ dermaga kapal nelayan warung warung menjual ikan segar ikan bakar goreng harga standar nawar sadis nawar 😂😁;Positif;Positif;0.982006311416626;0.015033053234219551;;
bagus tempatnya jalan pantainya perbaiki;Positif;Negatif;0.9914175271987915;0.008508040569722652;;
cocok melukis indahnya alam ditemani rembulan bintang suara ombak menidurkan pikiran;Positif;Positif;0.9989474415779114;0.0010110860457643867;;
wisata profesional bagus objek foto foto kualitas handphone om ajib gila foto;Positif;Positif;0.9942381381988525;0.005317110568284988;;
sesuai namanya pantai gaes fotonya lautnya surut pos retribusinya kayak pantai kukup baron drini gaes ohya pantai dekat pantai drini banyak jualan takut kelaparanðÿ˜ happy holiday;Positif;Positif;0.9985685348510742;0.001542012789286673;;
pantai bagus pas minggu padat banget niat foto foto pas menyesal gabawa baju ganti main air temen wkwkwk tebing jembatan baru dibuatkan biaya kemarin sih bayar ribu bagus la pokoknya hati hati pas jalan pantai licin all overall sih good tolong tukang foto disana foto foto;Positif;Positif;0.9809500575065613;0.01932000368833542;;
pantai watu lawang salah pantai kabupaten gunungkidul yogyakarta pantai menawarkan keindahan pemandangannya bebatuan karang pasir putihnya pantai diapit pantai terkenal pantai indrayanti terletak sebelah barat pantai pok tunggal terletak sebelah timur pantai watulawang sarana dipantai tergolong lumayan kamar mandi warung makanan minuman parkir berteduh;Positif;Positif;0.9828194975852966;0.019094621762633324;;
pantai ku wisata ikannya nge recommend in main air ombaknya lumayan sedih pasar ikannya dipindah ðÿ˜¥ isa milih ikan dibawa kewarungnya dimasakin dimakan dipinggir pantai huhuh warung makannya nembak harga mentang² wisata harga standart tau harga dasar ikan biar nawar menurutku ditawar terjangkau;Positif;Negatif;0.9853581190109253;0.016255447641015053;;
kesini pagi udara segar pantai menikmati ikan fresh kapal nelayan melaut jam;Positif;Positif;0.9731457829475403;0.028479797765612602;;
tempatnya sejuk asri cocok refreshing keluarga and anti hp yah;Positif;Positif;0.9998229146003723;0.00018877099500969052;;
cocok liburan keluarga;Positif;Positif;0.9984617233276367;0.001509305788204074;;
pantai congot bagus view kurang perhatian wisatawan sepi pengunjung tiket rupiah yuk ramaikan pantai congot;Negatif;Negatif;0.11356175690889359;0.8713868856430054;;
indah;Positif;Positif;0.9859107732772827;0.012465926818549633;;
bagus ngecamp recommended pantai lumayan sepi endak libur penyewaan tenda toilet banyak warung aksesnya lumayan bikin roda motor prihatin jalan raya pantai watukodok belok kanan plakat pantai sanglen gitu;Positif;Positif;0.9956375956535339;0.0048515708185732365;;
kurang cocok bermain air laut;Negatif;Negatif;0.028842950239777565;0.9660357236862183;;
pantainya aman anak berenang ombak bersahabat tempatnya lumayan bersih;Positif;Positif;0.9967400431632996;0.003096521832048893;;
pantai ngandong sebelah timur pantai sadranan pasirnya putih bersih cuaca bagus snorkeling pantai;Positif;Positif;0.9999620914459229;4,00E+10;;
pantai goa cemara terletak dekat pantai indah pemandangannya banyak mainan anak;Positif;Positif;0.9989089965820312;0.0011221488239243627;;
seneng banget main pantai aksesnya lumayan jauh pusat kota jogja lokasinya berderetan pantai indrayanti lain-lain pasirnya putih airnya lumayan jernih snorkeling waktu kesini pas weekday;Positif;Positif;0.9999421834945679;5,79E+09;;
pemandangan alam pantai bagus;Positif;Positif;0.9986717700958252;0.0013802285538986325;;
ramah anak;Positif;Positif;0.9468279480934143;0.05418640002608299;;
sayangnya pas kotor pohon cemara bikin sejuk;Negatif;Negatif;0.18992756307125092;0.7915890216827393;;
fasilitas kamar mandi ditingkatkan;Negatif;Negatif;0.044516175985336304;0.9556886553764343;;
jam perjalanan jogja tempatnya bagus parkiran harus jalan ri bukit pemandangan bagus good terjangkau mobil;Positif;Positif;0.9994314312934875;0.0005746788228861988;;
pantainya bagus sepi nyaman disampingnya berjualan jajan well pokoknya;Positif;Positif;0.9997702240943909;0.00024093329557217658;;
pantai sejuk siang banyak pohon cemara udang cocok acara gathering permainan atv penangkaran penyu;Positif;Positif;0.9999501705169678;5,07E+10;;
bagus banget;Positif;Positif;0.9975870847702026;0.002170982537791133;;
indahnya ðÿ¤© refreshing ðÿ§˜ðÿ½â€â™€ï¸ recommended dikunjungi pas stres kehidupan ðÿ¤£ðÿ˜‚ pantainya bagus pas berkunjung cuaca cerah ombaknya indah banget karangnya berdiri kokoh ber selfi ria 📷 😎;Positif;Positif;0.9999512434005737;5,10E+10;;
pantai layak dikunjungi tempatnya adem ditepi pantai berteduh menikmati deburan ombak ayo kesana;Positif;Positif;0.9978079199790955;0.0022296432871371508;;
bagus mantap foto fotonya;Positif;Positif;0.9976125955581665;0.002164201345294714;;
pantai ramai pas weekend salah pantai letaknya deket banget proyek pas selesai lewatin garis pantai bikin hati tenang banget rileks banget pantai emang salah butuh ketenangan ðÿ ‘ ;Positif;Positif;0.9970476031303406;0.003125958377495408;;
pantainya bagus pemandangan asik pengelolaan baik fasilitas permainan nelayan tambahan pencaharian;Positif;Positif;0.9930267333984375;0.007706961594521999;;
sepi istirahat nyantai tepi pantai;Positif;Positif;0.9969371557235718;0.0036943869199603796;;
juni sadranan banyak pengunjung tersengat ubur aman anak menangis tersengat pengumuman tertulis lisan pengelola hati;Positif;Positif;0.9996751546859741;0.000332689902279526;;
bagus sayangnya kotor banyak sampah;Negatif;Negatif;0.005934401415288448;0.9938141107559204;;
suka ikan laut tempatnya pilih ikan segarnya pemandangan dekat beda panatai pantai ombak pasir cuman sayang kemari pantainya kotor banyak sampah semoga diperhatikan pengelola biar wisatanya nyaman pengunjung wisatawan kenyamanan berwisata;Negatif;Negatif;0.0026773952413350344;0.9972983002662659;;
pemmandian air hangat;Positif;Positif;0.9996528625488281;0.00034621861414052546;;
pemandangan bagus ditambah pasir putihnya wisata pantai ditambah aneka hidangan laut kanan kiri pintu snorkeling kano penambah kelengkapan wisata dipantai;Positif;Positif;0.9998729228973389;0.00013141230738256127;;
pantainya bagus sisi pantai berpasir bertebing ngecamp terbatas tempatnya wc umum diramaikan warung;Positif;Positif;0.9996548891067505;0.0003516083233989775;;
asik bermain air karang banyak sport selfi berbayar xixixi;Positif;Positif;0.9999251365661621;7,99E+10;;
setau sih gratis objek wisata teras kaca rb motor parkir dibawah banget boro boro dijagain;Negatif;Negatif;0.0022810595110058784;0.9977895021438599;;
bagus banget;Positif;Positif;0.9975870847702026;0.002170982537791133;;
mencapai lokasinya menantang off road wheel drive medan jalan cadas berbatu lokasi terbayarkan view alami pantai selatan eksotis menantang eksplorasi;Positif;Positif;0.9999051094055176;0.00010520170326344669;;
pantai bersih makanan murah lumayan;Positif;Positif;0.9997789263725281;0.00023028967552818358;;
bersih bagus pohonnya penyu mati pasir kasihan warung banyak tutup pas senin;Positif;Positif;0.9996286630630493;0.0003953424165956676;;
suka main pantai goa cemara sesuai namanya disana banyak ditumbuhi pohon cemara santai menikmati suasana adem auka selfi sena banyak spot bagus penggemar selfi;Positif;Positif;0.9997044205665588;0.0003184014931321144;;
biarpun sepi pengunjung kalah pantai samas menawarkan pesona tersendiri pantainya bersih puas pokoknya ngapain;Positif;Positif;0.9996474981307983;0.00033774672192521393;;
lumayan nyaman ramai pengunjung akses pantai gampang jalan mudah kendaraan harus jalan kaki kurang km pantai sayangnya sampah tepi pantai;Positif;Positif;0.9480779767036438;0.06052544713020325;;
lumayan tantangan turun menikmati dekat bibir pantai;Positif;Positif;0.99903404712677;0.0010678931139409542;;
pantai berteduh pantai pantai cenderung panas pepohonan enak tiduran ðÿ˜€;Positif;Positif;0.9776190519332886;0.022306928411126137;;
pantai pasir putih pemandangan indah;Positif;Positif;0.9992979764938354;0.000713329529389739;;
pantai ombak terletak pantai selatan pemecah ombaknya area air tenang belakangnya berkeliling perahu motor;Positif;Positif;0.9995998740196228;0.000411178421927616;;
pantai ujung timur gunung kidul pantai memanjakan pengunjung pengalaman kesini harus berjalan kaki pantai jungwok pantai harus turun berjurang melewati sawah jalan setapak musim hujan berbahaya jalan licin ditambah turun jurangnya ditempatnya kagum dimanjakan indahnya bukit hamparan pasar putih luas cocok banget ngecamp;Positif;Positif;0.9978786706924438;0.0021798955276608467;;
angin kencang pasir beterbangan risih berlama pantai ombaknya sopan anak anak bermain pantai sekedar berfoto okelah;Negatif;Negatif;0.0175723135471344;0.9834567904472351;;
pantai ngandong area pantai sundak keterangan tulisan wajib nanya penduduk pantai pesen seafood hasil tangkapan nelayan harga terjangkau gausah takut keblondrok jawa pantai persewaan tiker payung sepuasmu jual mie instan pop mie backpacker takut laper budget dikit iya tebingnya foto pantai atas tebing penduduk jualan undur undur gortep cumi gortep udang gortep rumput laut gortep komplit recomended deh lestguide;Positif;Positif;0.9671452641487122;0.032361842691898346;;
lumayan enak bagus view bebatuan vulkanik;Positif;Positif;0.9989460110664368;0.001084446324966848;;
pantai pasir hitam selatan jogja tedih banyak pohon cemara banyak persewaan tiker duduk dibawah pohon;Positif;Positif;0.9995794892311096;0.00047846027882769704;;
view ajib lautnya biru pasir putih akses jalan mudah;Positif;Positif;0.9949266910552979;0.005529495421797037;;
melelahkan rombongan jawa timur disana senang harga makan toko dekat pantai murah teman terkejut harga makanan daerah daerah kawasan wisata semurah penasaran penjual buk niki benar regine sak menten penjual enggeh mas niki leres estu buk murah men to smean sak rencang tiang tebih mas kulo geh tiang tebih grio kulo sanes ten pantai hahaha teman tertawa guyonan mantul 😂 akhirnya teman menghabiskan kasaranya merampok isi warung wkwkw murahnya harga makanan disana maaf terima kasih see you ✌;Positif;Positif;0.9999102354049683;9,33E+10;;
salah pantai pilihan kujungan kejogja pantai terletak gunung kidul bersebelahan pantai pantai ternama jogja salah tujuan pantai snorkeling;Positif;Positif;0.9997535347938538;0.00024203291104640812;;
drini pantai wajib dikunjungi gunung kidul snorkeling pantai sebelah kiri relatif tenang jembatan nyebrang pulau selfi kesini anehnya nagih bayar parkir ðÿ˜;Positif;Positif;0.9701060652732849;0.033369436860084534;;
